Datetime,Ticker,High,Low,Source
2026-04-20 9:30,MSFT,423.13,417.12,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-20 10:30,MSFT,419.67,416.32,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-20 11:30,MSFT,418.93,416.62,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-20 12:30,MSFT,420.17,418.51,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-20 13:30,MSFT,419.18,417.82,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-20 14:30,MSFT,418.66,416.74,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-20 15:30,MSFT,418.15,416.81,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-21 9:30,MSFT,425.38,417.2,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-21 10:30,MSFT,427.17,422.98,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-21 11:30,MSFT,426.92,424.44,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-21 12:30,MSFT,426.48,423.43,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-21 13:30,MSFT,426.9,424.73,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-21 14:30,MSFT,427.18,425.29,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-21 15:30,MSFT,426.56,423.33,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-22 9:30,MSFT,431.29,423.7,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-22 10:30,MSFT,432.32,429.55,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-22 11:30,MSFT,433.18,431.39,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-22 12:30,MSFT,432.27,430.33,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-22 13:30,MSFT,431.97,430.62,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-22 14:30,MSFT,432.18,430.63,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-22 15:30,MSFT,434,431.79,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-23 9:30,MSFT,423.09,415.8,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-23 10:30,MSFT,423.35,418.34,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-23 11:30,MSFT,423.33,417.81,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-23 12:30,MSFT,418.06,414.5,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-23 13:30,MSFT,415.79,411.41,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-23 14:30,MSFT,416.71,414.15,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-23 15:30,MSFT,416.68,415.03,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-24 9:30,MSFT,421.62,415.8,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-24 10:30,MSFT,420.02,417.22,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-24 11:30,MSFT,421.94,418.27,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-24 12:30,MSFT,419.91,418.76,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-04-24 13:30,MSFT,422.06,418.64,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
